Question,Answer
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Moby Dick, Bob gets The Great Gatsby, and Claire gets Lolita. As the semester proceeds, they start trading around the new books. First, Claire and Bob swap books. Then, Alice and Claire swap books. Finally, Alice and Bob swap books. At the end of the semester, Bob has Which choice is true ? 
Answer Choices: (A) Moby Dick. (B) The Great Gatsby. (C) Lolita.

"," B.

"
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a green ball, Bob has a purple ball, and Claire has a blue ball. As the game progresses, pairs of players trade balls. First, Bob and Alice swap balls. Then, Claire and Bob swap balls. Finally, Bob and Alice swap balls. At the end of the game, Bob has the Which choice is true ? 
Answer Choices: (A) green ball. (B) purple ball. (C) blue ball.

"," 
B.

"
"Alice, Bob, and Claire are holding a white elephant gift exchange. At the start of the event, they are each holding a present of a different color: Alice has a yellow present, Bob has a white present, and Claire has a purple present. As the event progresses, pairs of people swap gifts. First, Alice and Bob swap their gifts. Then, Bob and Claire swap their gifts. Finally, Bob and Alice swap their gifts. At the end of the event, Bob has the Which choice is true? 
Answer Choices: (A) yellow present. (B) white present. (C) purple present.

"," B.

"
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Catch-22, Bob gets Lolita, and Claire gets Hound of the Baskervilles. As the semester proceeds, they start trading around the new books. First, Bob and Alice swap books. Then, Bob and Claire swap books. Finally, Alice and Claire swap books. At the end of the semester, Claire has Which choice is true? 
Answer Choices: (A) Catch-22. (B) Lolita. (C) Hound of the Baskervilles.

"," B.

"
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a purple ball, Bob has a yellow ball, and Claire has an orange ball. As the game progresses, pairs of players trade balls. First, Claire and Bob swap balls. Then, Bob and Alice swap balls. Finally, Claire and Bob swap balls. At the end of the game, Alice has the Which choice is true ? 
Answer Choices: (A) purple ball. (B) yellow ball. (C) orange ball.

"," C.

"
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets Catch-22, and Claire gets The Pearl. As the semester proceeds, they start trading around the new books. First, Claire and Bob swap books. Then, Bob and Alice swap books. Finally, Claire and Alice swap books. At the end of the semester, Claire has Which choice is true ? 
Answer Choices: (A) Hound of the Baskervilles. (B) Catch-22. (C) The Pearl.

"," C.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to
the Christopher Reeve Foundation.
hypothesis: Christopher Reeve had an accident.

"," No.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: Security forces were on high alert after an election campaign in which more than 1,000 people, including
seven election candidates, have been killed.
hypothesis: Security forces were on high alert after a campaign marred by violence.

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new
products and resigned from the company a few weeks later.
hypothesis: Steve Jobs worked for Apple.

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: In a bowl, whisk together the eggs and sugar until completely blended and frothy.
hypothesis: In a bowl, whisk together the egg, sugar and vanilla until light in color.

"," No.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to
Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.
hypothesis: Texas Instruments produces mobile phones.

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: Ssangyong Motor was taken over by creditors after it collapsed under heavy debts during the 1997-98
Asian financial crisis.
hypothesis: Asian financial crisis takes over Ssangyong Motor

"," No.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: At the same time the Italian digital rights group, Electronic Frontiers Italy, has asked the nation’s
government to investigate Sony over its use of anti-piracy software.
hypothesis: Italy’s government investigates Sony.

"," No.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `entail’ or `not entail’.
premise: The number of Danes opposed to swapping the krone for the euro has increased slightly to 35.3 percent,
up from 34.6 percent in April, according to a poll published on Thursday by Danske Bank.
hypothesis: The introduction of the euro has been opposed.

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: And I don’t want to have to lie to them. The kidnappers have given us until October the eleventh to
deliver the document and I haven’t despaired of finding it before then. But if the police learn I `ve been to America
they `ll ask why.
hypothesis: he’s been to America

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: B: how’d you like to own a piece of property where your lake is going sour because of acid rain. A:
Right. Right. B: It’s, uh, really a serious issue for those of us up in this, uh, sector up here. A: um, or do you
hypothesize that most of the, uh, smog or air pollution comes from vehicles
hypothesis: most of the smog or air pollution comes from vehicles

"," No.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: There was a group of curious onlookers... Marie felt her legs give way beneath her, she sat down on
the edge of the pavement, feet in the gutter, doubled-up, sick and winded as if someone had punched her in the
stomach. She lifted up her head and looked again. She had watched scenes like this so often in detective films and
police series on television that she could hardly believe that this was real life.
hypothesis: this was real life

"," Neutral.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: A: and that rolling kind of, uh, B: Terrain. A: Yeah. is fairly famili-,. The thing that I thought was
interesting was that the critics, apparently it’s going to win everything.
B: Really? A: Uh, and I had been told, you
know, you wouldn’t notice that it was three hours long, and all this, kind of,
hypothesis: it was three hours long

"," Yes.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: A: I do too, so she couldn’t possibly turn them out like some of these popular writers, B: Huh-uh. A: but
oh, her books are just incredible. I don’t think they’ve ever made a movie, do you?
hypothesis: they’ve ever made a movie

"," Neutral.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: But what we may not know is just what makes somebody a sucker. What makes people blurt out their
credit-card numbers to a caller they `ve never heard of? Do they really believe that the number is just for verification
and is simply a formality on the road to being a grand-prize winner?
hypothesis: the number is just for verification and is simply a formality on the road to being a grand-prize winner

"," Neutral.

"
"Please identify whether the premise entails the hypothesis. The answer should be exact `yes’, `no’ or `neutral’.
premise: What had brought Gharr and Ten-huc and Pulvidon to the planet at the same time? Why were all of them
so interested in why I was there? And if they somehow suspected that I was picking up something valuable why
would any of them try to kill me before the pick-up?
hypothesis: she was picking up something valuable

"," Neutral.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Phantom pain – Phantom pain sensations are described as perceptions that an individual experiences
relating to a limb or an organ that is not physically part of the body. Limb loss is a result of either removal by
amputation or congenital limb deficiency. However, phantom limb sensations can also occur following nerve
avulsion or spinal cord injury.
question: is pain experienced in a missing body part or paralyzed area

"," Yes.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Gambling in Australia – Gamblers’ winnings in Australia are not taxed. There are 3 main reasons for
that:
question: do you pay tax on gambling winnings in australia

"," No.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Member states of the Commonwealth of Nations – Other states which have expressed an interest in
joining the Commonwealth over the years or states which may be eligible to join the Commonwealth include
Algeria, Bahrain, Cambodia, Egypt, Eritrea, Israel, Libya, Madagascar, Palestine, United States and Yemen.
question: is the united states part of the commonwealth of nations

"," No.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Cloak – Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a
full-length cloak. Gentlemen wear an ankle-length or full-length cloak. Formal cloaks often have expensive,
colored linings and trimmings such as silk, satin, velvet and fur.
question: is a cape and a cloak the same

"," No.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: The Five Heartbeats – To promote the film prior to its release, Townsend, along with the other actors who
portrayed the fictional musical quartet The Five Heartbeats (Leon Robinson, Michael Wright, Harry J. Lennix,
and Tico Wells) performed in a concert with real-life Soul R&B vocal group The Dells, one of many groups that
inspired the film. The Dells sang and recorded the vocals as the actors lip synced.
question: is there a group called the five heartbeats

"," Yes.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Donna Pinciotti – In the final episode, Eric returns to Point Place for the New Year and he and Donna
kiss. It is presumed that they end up together again at the end of the series and the end of the 1970s.
question: do donna and eric end up getting married

"," Yes.

"
"Please answer the given question based on the context. The answer should be exact `yes’ or `no’.
context: Cold Case – Due to the use of contemporary music in each episode, none of the seasons are presently
available on DVD, due to music licensing issues. However, the entire series, incorporating the contemporary music,
was previously released on DVD as Cold Case: The Complete Edition, by CBS Productions (ISBN 8-5857-9659-6),
on 44 dual-layer disks, in a single boxed set. This set is out of print.
question: will cold case ever be released on dvd

"," No.

"
"A coin is heads up. Wilmer flips the coin. Valerie does not flip the coin. Melissa flips the coin. Eloisa flips the coin. Is the coin still heads up? Note that ``flip"" here means ``reverse"". 

"," No.

"
"A coin is heads up. Katia does not flip the coin. Mina does not flip the coin. Cam does not flip the coin. Ronda does not flip the coin. Is the coin still heads up? Note that ``flip"" here means ``reverse"". 

"," Yes.

"
"A coin is heads up. Forrest does not flip the coin. Juanito does not flip the coin. Allan does not flip the coin. Candice does not flip the coin. Is the coin still heads up? Note that ``flip"" here means ``reverse"". 

"," Yes.

"
"A coin is heads up. Ronnie flips the coin. Kiki flips the coin. Alan flips the coin. Remy flips the coin. Is the coin still heads up? Note that ``flip"" here means ``reverse""

"," Yes. The coin is head up with even number of flips. 

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process.
Question: Bird Bobbie jumps on a fence from the post on the left
end to the other end. Each jump takes him 4 seconds. He makes 4
jumps ahead and then 1 jump back. Then he again makes 4 jumps
ahead and 1 jump back, and so on. In how many seconds can
Bobbie get from one end to the other end? 
Answer Options: A: 64 B: 48 C: 56 D: 68 E: 72

"," C.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process.
Question: In the country of jewelries, you can trade three sapphires for
one ruby. For one sapphire, you can get two flowers. How
many flowers can you get for two rubies? 
Options: A: 6, B: 8, C: 10, D: 12, E: 14

"," D.
To get two rubies, we need to trade six sapphires. For one sapphire, we can get two flowers. 
Therefore, for six sapphires we can get 6 * 2 = 12 flowers.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: Brian and William are standing in line. Brian knows that there are 7 people in front of him. William knows that there is a total of 11 people in the line. If Brian is just in front of William, how many of the people in the line are behind William? 
Options: A: 2, B: 3, C: 4, D: 5, E: 6

"," A.
11-9 = 2

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: In a box, there are three boxes, and each one of these boxes countains three smaller boxes. How many boxes are there in total? 
Options: A: 9, B: 10, C: 12, D: 13, E: 15

"," D.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process.
Question: There are twelve rooms in a building and each room has two windows and one light. Last evening, eighteen windows were lit. In how many rooms was the light off? 
Options: A: 2, B: 3, C: 4, D: 5, E: 6

"," B.
12 * 2 = 24
24 - 18 = 6
6 / 2 = 3

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: Vera invited 13 guests to her birthday party. She had 2 pizzas, and each of them was cut into 8 slices. Each person at
the party ate one slice of pizza. How many slices of pizza
were left over? 
Options: A: 5, B: 4, C: 3, D: 2, E: 1

"," D.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: Two identical trains, each with 31 cars, are traveling in opposite directions. When car number 19 of one train is opposite car number 19 of the other, which car is opposite car number 12? 
Options: A: 7, B: 12, C: 21, D: 26, E: 31

"," D.
the car that is opposite car 12 on Train 1 is car 26 on Train 2.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: 1 ice cream cone costs 1 dollar. There is a sale so you can buy 6 ice cream cones for 5 dollars. How many ice cream cones at most can you buy with 36 dollars? 
Options: A: 36, B: 30, C: 42, D: 43, E: 45

"," D. 

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: How many different numbers greater than 10 and smaller than 25 with all different digits can we make by using the digits 2, 0, 1, and 8? 
Options: A: 4, B: 5, C: 6, D: 7, E: 8

"," A.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: A pirate has two chests. There are 10 coins in the chest on the left and the other chest is empty. Starting tomorrow, the pirate will put 1 coin in the chest on the left and 2 coins in the chest on the right every day. In how many days will the two chests have the same number of coins?
Options: A: 5, B: 8, C: 10, D: 12, E: never

"," C.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process. 
Question: Alice has 3 white, 2 black, and 2 gray pieces of paper. She cuts every non-black piece of paper in half. Then she cuts every non-white piece of paper in half. How many pieces of paper will she have?
Options: A: 14, B: 16, C: 17, D: 18, E: 20

"," D.

"
"Please read the following question, select the correct answer from one of the options, and provide the reasoning process.
Question: The road from Anna’s house to Mary’s house is 16 km long. The road from Mary’s house to John’s house is 20 km long and the road from the crossroad to Mary’s house is 9 km long. How long is the road from Anna’s house to John’s house?
Options: A: 7 km, B: 9 km, C: 11 km, D: 16 km, E: 18 km

"," E.

"
"Context: 
If the purpose of laws is to contribute to people’s happiness, we have a basis for criticizing existing laws as well
as proposing new laws. Hence, if that is not the purpose, then we have no basis for the evaluation of existing
laws, from which we must conclude that existing laws acquire legitimacy simply because they are the laws 
Question: The reasoning in the argument is flawed in that the argument
Options:
A. takes a sufficient condition for a state of affairs to be a necessary condition for it
B. draws a conclusion about how the world actually is on the basis of claims about how it should be
C. infers a causal relationship from the mere presence of a correlation
D. trades on the use of a term in one sense in a premise and in a different sense in the conclusion

"," A.

"
"Context:
Psychologist: Phonemic awareness, or the knowledge that spoken language can be broken into component
sounds, is essential for learning to read an alphabetic language. But one also needs to learn how sounds are
symbolically represented by means of letters; otherwise, phonemic awareness will not translate into the ability
to read an alphabetic language. Yet many children who are taught by the whole-language method, which
emphasizes the ways words sound, learn to read alphabetic languages.
Question: Which one of the following can be properly inferred from the psychologist’s statements?
Options:
A. The whole-language method invariably succeeds in teaching awareness of how spoken language can be
broken into component sounds.
B. Some children who are taught by the whole-language method are not prevented from learning how sounds
are represented by means of letters.
C. The whole-language method succeeds in teaching many children how to represent sounds symbolically by
means of letters.
D. When the whole-language method succeeds in teaching someone how to represent sounds by means of
letters, that person acquires the ability to read an alphabetic language.

"," B.

"
"Definition: identify the claim that must be true or is required in order for the argument to work
Context:
Slash-and-burn agriculture involves burning several acres of forest, leaving vegetable ash that provides
ample fertilizer for three or four years of bountiful crops. On the cleared land nutrients leach out of the
soil, however, and the land becomes too poor to support agriculture. New land is then cleared by burning
and the process starts again. Since most farming in the tropics uses this method, forests in this region will
eventually be permanently eradicated.
Question: The argument depends on the assumption that
Options:
A. forests in the tropics do not regenerate well enough to restore themselves once they have been cleared
by the slash-and-burn method
B. some other methods of agriculture are not as destructive to the environment in tropical regions as the
slash-and-burn method is
C. forests in the tropics are naturally deficient in nutrients that are needed to support the growth of plants
that are not native to those regions
D. slash-and-burn agriculture is particularly suitable for farming in tropical areas

"," A.

"
"Definition: identify a sufficient assumption, that is, an assumption that, if added to the argument, would
make it logically valid 
Context:
Geologist: A new method for forecasting earthquakes has reliably predicted several earthquakes. Unfortunately, this method can predict only that an earthquake will fall somewhere within a range of two and
a half points on the Richter scale. Thus, since a difference of two and a half points can be the difference
between a marginally perceptible shaking and a quake that causes considerable damage, the new method
is unlikely to be useful.
Question: Which one of the following, if assumed, enables the geologist’s conclusion to be properly
inferred?
Options:
A. An earthquake-forecasting method is unlikely to be useful unless its predictions always differentiate earthquakes that are barely noticeable from ones that result in substantial destruction.
B. Several well-established methods for forecasting earthquakes can predict within much narrower ranges than two and a half points on the Richter scale.
C. Even if an earthquake-forecasting method makes predictions within a very narrow range on the Richter scale, this method is not likely to be useful unless its predictions are reliable.
D. An earthquake-forecasting method has not been shown to be useful until it has been used to reliably
predict a large number of earthquakes.

"," A.

"
"Definition: identify information that would strengthen an argument
Context:
Financial success does not guarantee happiness. This claim is not mere proverbial wisdom but a fact
verified by statistics. In a recently concluded survey, only one-third of the respondents who claimed to
have achieved financial success reported that they were happy.
Question: Which one of the following, if true, most strongly supports the conclusion drawn from the
survey results?
Options:
A. Most of the respondents who reported they were unhappy were in fact happy.
B. The respondents who reported financial success were, for the most part, financially successful.
C. Many of the respondents who claimed not to have achieved financial success reported that they were
happy five years ago.
D. Many of the respondents who failed to report financial success were in fact financially successful.

"," B.

"
"Definition: identify information that would weaken an argument 
Context:
“DNA fingerprinting” is a recently-introduced biochemical procedure that uses a pattern derived from a
person’ s genetic material to match a suspect’ s genetic material against that of a specimen from a crime
scene. Proponents have claimed astronomically high odds against obtaining a match by chance alone.
These odds are based on an assumption that there is independence between the different characteristics
represented by a single pattern.
Question: Which one of the following, if true, casts the most doubt on the claim of the proponents of
DNA fingerprinting?
Options:
A. The skill required of laboratory technicians performing the DNA fingerprinting procedure is not extraordinary.
B. There is a generally accepted theoretical basis for interpreting the patterns produced by the procedure.
C. In the whole population there are various different subgroups, within each of which certain sets of
genetic characteristics are shared.
D. In the investigation of certain genetic diseases, the techniques used in DNA fingerprinting have traced
the transmission of the diseases among the living members of very large families.


"," C.

"
"Definition: identify information that would be useful to know to evaluate an argument 
Context:
George: Some scientists say that global warming will occur because people are releasing large amounts of
carbon dioxide into the atmosphere by burning trees and fossil fuels. We can see, though, that the predicted
warming is occurring already. In the middle of last winter, we had a month of springlike weather in our
area, and this fall, because of unusually mild temperatures, the leaves on our town’ s trees were three
weeks late in turning color.
Question: Which one of the following would it be most relevant to investigate in evaluating the conclusion
of George’s argument?
Options:
A. whether air pollution is causing some trees in the area to lose their leaves
B. what proportion of global emissions of carbon dioxide is due to the burning of trees by humans
C. whether unusually warm weather is occurring elsewhere on the globe more frequently than before
D. when leaves on the trees in the town usually change color

"," C.

"
"Definition: identify something that follows logically from a set of premises 
Context:
To be horrific, a monster must be threatening. Whether or not it presents psychological, moral or social
dangers, or triggers enduring infantile fears, if a monster is physically dangerous then it is threatening. In
fact, even a physically benign monster is horrific if it inspires revulsion.
Question: Which one of the following logically follows from the statements above?
Options:
A. Any horror-story monster that is threatening is also horrific.
B. If a monster triggers infantile fears but is not physically dangerous, then it is not horrific.
C. All monsters that are not physically dangerous, but that are psychologically dangerous and inspire
revulsion, are threatening.
D. If a monster is both horrific and psychologically threatening, then it does not inspire revulsion.

"," C.

"
"Definition: identify the conclusion/main point of a line of reasoning 
Context:
Whether or not one can rightfully call a person’ s faithfulness a virtue depends in part on the object of that
person’ s faithfulness. Virtues are by definition praiseworthy, which is why no one considers resentment
virtuous, even though it is in fact a kind of faithfulness – faithfulness to hatreds or animosities.
Question: Which one of the following most accurately expresses the overall conclusion drawn in the
argument?
Options:
A. The object of a person’s faithfulness partially determines whether or not that faithfulness is virtuous.
B. Virtuous behavior is praiseworthy by definition.
C. Resentment should not be considered a virtuous emotion.
D. Behavior that emerges from hatred or animosity cannot be called virtuous.

"," A

"
"Definition: find the choice that is most strongly supported by a stimulus 
Context:
After a nuclear power plant accident, researchers found radioactive isotopes of iodine, tellurium, and
cesium-but no heavy isotopes-in the atmosphere downwind. This material came either from spent fuel
rods or from the plant’ s core. Spent fuel rods never contain significant quantities of tellurium isotopes.
Radioactive material ejected into the atmosphere directly from the core would include heavy isotopes.
After the accident, steam, which may have been in contact with the core, was released from the plant. The
core contains iodine, tellurium, and cesium isotopes, which are easily dissolved by steam.
Question:
Of the following statements, which one is most strongly supported by the information above?
Options:
A. The nuclear power plant’s spent fuel rods were not damaged.
B. Spent fuel rods do not contain heavy isotopes in significant quantities.
C. The researchers found some radioactive material from spent fuel rods as well as some material that was
ejected into the atmosphere directly from the plant’s core.
D. The radioactive material detected by the researchers was carried into the atmosphere by the steam that
was released from the plant.

"," D

"
"Definition: identify information that would explain or resolve a situation 
Context: 
To reduce the mosquito population in a resort area, hundreds of trees were planted that bear fruit attractive
to birds. Over the years, as the trees matured, they attracted a variety of bird species and greatly increased
the summer bird population in the area. As expected, the birds ate many mosquitoes. However, the
planting of the fruit trees had the very opposite of its intended effect. 
Question: 
Which one of the following, if true, most helps to explain the apparently paradoxical result? 
Options: 
A. Most of the species of birds that were attracted by the trees that were planted did not eat mosquitoes. 
B. Increases and decreases in mosquito populations tend to follow a cyclical pattern. 
C. The species of birds that were attracted in the greatest number by the fruit of the trees that were planted
did not eat mosquitoes. 
D. The birds attracted to the area by the trees ate many more insects that prey on mosquitoes than they
did mosquitoes.

"," D

"
