Question,Answer
"Shawn, who scored 146 on two IQ tests in a row, is shorter than Tarah. Tarah, who scored below Erick on her test, is taller than Erick. John scored an even 100 on his IQ test and is the tallest of the group. The order of their height from shortest to tallest is John, Tarah, Erick, Shawn. 
a. True 
b. False

"," Option b.  The order listed is from tallest to shortest.

"
"If you have a 3 gallon cylindrical shaped jug and a 5 gallon cylindrical shaped jug with an unlimited supply of water (and no other containers), which is the correct procedure to end up with exactly 4 gallons in the 5 gallon jug? 
a. Fill 3 gallon jug. Pour out half of the 3 gallon jug by  
b. Fill 3 gallon jug. Pour it all into the 5 gallon jug twice  
c. Fill 5 gallon jug. Pour all but 2 gallons into the 3 gallon jug 
d. All of the above 
e. None of the above

"," Option d. 
All three methods work. 
A - Fill the 3 gallon jug. Dump half of 3. (This can be accomplished by pouring until the water line goes diagonally from the bottom edge of the open end of the bucket to the top edge of the closed end). Now you have 1.5 gallons in 3. Fill 5. Get half of 5 as done above. Now have 2.5 in 5. Pour the 1.5 from 3 into 5. 
B - Fill the 3 gallon jug. Pour it into the 5 gallon jug twice. Once the jug fills to 5 gallons, don't let it overflow and then you have 1 gallon in the 3 gallon jug. Dump the water out of the 5 gallon jug. Pour the 1 gallon left from the 3 gallon jug into the 5 gallon jug. Refill the 3 gallon jug and pour the 3 gallons into the 5 gallon jug making 4 gallons. 
C - Fill the 5 gallon jug. Pour all but 2 gallons into the 3 gallon jug. Empty the 3 gallon jug. Put the 2 remaining gallons from the 5 gallon jug into the 3 gallon jug. Fill 5. Pour 1 gallon from the 5 gallon jug by filling the 3 gallon jug. The 5 gallon jug now contains 4 gallons. 

"
"Find two words, one from each group, that are the closest in meaning: 
Group A: talkative, job, ecstatic
Group B: angry, wind, loquacious 
a. talkative and wind
b. job and angry 
c. talkative and loquacious 
d. ecstatic and angry

"," Option c.  Talkative and Loquacious.

"
"What weighs more, a pound of feathers or a kilogram of bricks?

"," 1 kilogram is equal to 2.20462262 pounds.

"
"Tom has a new set of golf clubs. Using a club 8, the ball travels an average distance of 100 meters. Using a club 7, the ball travels an average distance of 108 meters. Using a club 6, the ball travels an average distance of 114 meters. How far will the ball go if Tom uses a club 5? 
a- 122 meters 
b- 120 meters 
c- 118 meters 
d- 116 meters

"," The correct answer is 118 meters. With each club with a lower number, the ball travels farther by the difference between the previous two clubs, minus 2 meter (114 - 108 is 6 - 2 is 4 meter. 4 plus 114 is 118).

"
"Suppose you are running a race. You have just passed the person running second. What place are you in?

"," Second place.

"
"If a doctor gives you 3 pills and tells you to take one pill every half hour, how long would it take before all the pills have been taken?

"," It would take 1 hour to take all 3 pills.

"
"There are 6 socks in a drawer, 3 are blue and 3 are red. What is the minimum number of socks you must take out of the drawer to guarantee that you have a matching pair?

"," You must take out 4 socks to guarantee a matching pair.

"
"What comes next in the sequence: 1, 2, 4, 7, 11, 16, ____?

"," 22.

"
"% https://www.free-iqtest.net/answers/2
Which number should come next in the series? 
1 - 1 - 2 - 3 - 5 - 8 - 13 
1- 8  
2- 13 
3- 21 
4- 26 
5- 31

"," 21.

"
"If you rearrange the letters ``I am Lord Voldemort"" you get the name of what character in the Harry Potter series?

"," Tom Marvolo Riddle.

"
"Mary, who is sixteen years old, is four times as old as her brother. How old will Mary be when she is twice as old as her brother?
1- 20
2- 24
3- 25
4- 26
5- 28

"," 24.

"
"What letter comes next in this sequence? M, A, M, J, J, A, S, O, -?

"," N. The sequence is the first letters of months starting from March.

"
"If a rooster laid an egg on the roof of a house, which way would it roll?

"," Roosters do not lay eggs.

"
