Question,Answer
"A man and his wife raced through the streets. They stopped and the husband got out of the car. When he returned, his wife was dead and there was a stranger in the car. What happened?

"," 
The wife was about to have a baby. The husband drove them to the hospital. The husband left to get a wheelchair but the baby was born in the meantime. The wife died in childbirth.

"
"A woman enters a large metal tube. She is overcome with fear and clenches her boyfriend’s hand tightly. She is visibly shaken. Her boyfriend gently rubs her arms and speaks softly to her, but is unaffected himself. A few hours later, the woman’s boyfriend tells her that it’s time to go and her torment ends. What was happening to the woman?

"," 
The woman is terrified of flying but must travel to see a dying relative and this adds to her stress level. Her boyfriend does his best to comfort her during the few hours of the flight.

"
"What can travel around the world while staying in a corner?

"," A stamp.

"
"You can see me in water, but I never get wet. What am I?

"," A reflection.

"
"When it is alive we sing, when it is dead we clap our hands. What is it?

"," 
Birthday candles

"
"Two sisters are we, one is dark and one is fair In twin towers dwelling we're quite the pair One from land and one from sea Tell us truly, who are we?

"," 
Salt and Pepper

"
"A murderer is condemned to death. He has to choose between three rooms. The first is full of raging fires, the second is full of assassins with loaded guns, and the third is full of lions that haven't eaten in 3 years. Which room is safest for him?

"," 
The third room. Lions that haven't eaten in three years are dead.

"
"The man who makes it doesn’t use it; the man who buys it doesn’t need it; the man who uses it doesn’t know it. What is it?

"," 
A coffin.

"
"Three kids enter a room, but only two walkout. The room is empty. Where is the third kid?

"," 
The third kid uses a wheelchair, so they roll out of the room instead of walking out.

"
"A man died and went to Heaven. There were thousands of other people there. They were all naked and all looked young. He looked around to see if there was anyone he recognized. He saw a couple and he knew immediately that they were Adam and Eve. How did he know it was them?

"," 
He recognized Adam and Eve as the only people without navels. Because they were not born from a woman, they had never had umbilical cords, and therefore they never had a belly button.

"
"If you were alone in a dark room, with only one match and an oil lamp, a fireplace, and a candle to choose from, which would you light first?

"," 
The match.

"
"On a hot Saturday afternoon, a woman was walking slowly through the savannah when she spotted a lion in the distance. Instead of turning around, hiding, or seeking help, the woman began to run towards where the lion was. Why wasn’t she afraid?

"," 
The woman was visiting a zoo.

"
"In a large, completely empty, wooden barn is Old Man Jenkins, hanging dead from the middle of the central rafter. He is hanging three feet off the ground by a rope ten feet long. The closest wall is 20 feet away from the hanging man. It would not be possible to climb up the walls or along the rafters. Below him is a puddle of water. How did Old Man Jenkins hang himself?

"," 
Old Man Jenkins stood on a block of ice and hung when it melted.

"
"There are a ten eggs in a carton. Ten people each take a single egg, but there is one egg left in the carton. How?

"," 
The tenth person takes the egg and the carton, leaving the egg inside.

"
"A man walks into a bar and asks the bartender for a glass of water. The bartender pulls out a gun and points it at the man. The man says, “Thank you” and walks out. What happened?

","
The man had hiccups and the bartender’s gun scared them out of him, to which he said, “Thank you.”

"
"I can fly but have no wings. I can cry but I have no eyes. Wherever I go, darkness follows me. What am I?

"," Clouds

"
"I'm tall when I'm young, I'm short when I'm old. What am I?

"," 
Candle / Pencil

"
"I am the beginning of everything, the end of time and space, the beginning of every end, and the end of every place. What am I?

"," The letter ``E"".

"
"What jumps higher than a building?

"," 
All animals can jump higher than a building. Buildings do not jump

"
"You will always find me in the past. I can be created in the present, But the future can never taint me. What am I?

"," History.

"
"People buy me to eat, but never eat me. What am I?

"," Plates and cuttlery

"
"I go in hard. I come out soft. You blow me hard. What am I?

"," Gum

"
"I have an eye but am blind, a sea, but no water; a bee, but no honey; Tea but no coffee; and a why, but no answer. What am I?

"," The alphabet 

"
"The more you take, the more you leave behind. What am I?

"," Footsteps

"
"Feed me and I live, yet give me a drink and I die

"," Fire.

"
"Forward I am heavy, but backward I am not. What am I?

"," Forward I am ton, backwards I am not

"
"I never was, am always to be, No one ever saw me, nor ever will And yet I am the confidence of all To live and breathe on this terrestrial ball. What is it?

"," Tomorrow.

"
"A man wants to enter an exclusive club, but he doesn't know the password. Another man walks to the door and the doorman says 12, the man says 6, and is let in. Another man walks up and the doorman says 6, the man says 3, and is let in. Thinking he had heard enough, he walks up to the door and the doorman says 10, he says 5, and he isn't let in. What should he have said?

"," 
Three. He should have said how many letters were in the number he said.

"
"If you have me, you want to share me. If you share me, you haven't got me. What am I?

"," Secret.

"
"You go at red, but stop at green. What am I?

"," 
Watermelon! You eat the red part, and you stop eating at the green part.

"
"I am a fruit. I am tasty and provide lots of energy. You can also find me in a calendar. What am I?

"," Date.

"
"If you throw me out the window, I'll leave a grieving wife. Bring me back, but through the door, You'll see someone giving life. What am I??

"," The letter 'n'. Throw out the letter n from the word window and you have widow. Bring back the word n to door and you have donor.

"
"Which letter of the alphabet can you add four letters to without changing its pronunciation?

"," ``Q"" - ueue.

"
"Samuel was out for a walk and it started to rain. He did not have an umbrella and he wasn't wearing a hat. His clothes were soaked, yet not a single hair on his head got wet. How could this be?

"," Samuel is blad

"
"Mary's father has 4 children; three are named Nana, Nene, and Nini. So what is the 4th child's name?

"," Mary.

"
"My first letter is in the spell, but not the book My second letter is in the fright and also the shook My third letter is in the cauldron, but never in pot My fourth letter is in the net and also in the knot My fifth letter is in the bat, but never in the vampire My sixth letter is in the coal, but not found in fire My seventh letter is in moon, but not in night Who am I?

"," 
The Phantom

"
"I am a word of meanings three. Three ways of spelling me there be. The first is an odor, a smell if you will. The second some money, but not in a bill. The third is past tense, a method of passing things on or around. Can you tell me now, what these words are, that have the same sound?

"," 
Scent, cent, sent

"
"I am a word of 5 letters and people eat me. If you remove the first letter I become a form of energy. Remove the first two and I’m needed to live. Scramble the last 3 and you can drink me. What am I?

"," 
Wheat, heat, eat, tea

"
"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale, but I'm always ready to tell a tale. What am I?

"," 
A book.

"
"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?

"," 
Promise.

"
"I have one, you have one. If you remove the first letter, a bit remains. If you remove the second, bit still remains. After much trying, you might be able to remove the third one also, but it remains. It dies hard!

"," 
Habit. Remove h and ``a bit"" remains; remove a and ``bit"" remains; remove b and ``it"" remains.

"
"Your in a place called Bobby's world and there is only one Law. There is a mirror, but no reflection. There is pizza with cheese, but not sausage. There is pepper, but no salt. There is a door, yet no entrance or exit. What is the law?

"," 
Everything in Bobby's world must contain double letters in each word.

"
"I have no voice and yet I speak to you, I tell of all things in the world that people do. I have leaves, but I am not a tree, I have pages, but I am not a bride or royalty. I have a spine and hinges, but I am not a man or a door, I have told you all, I cannot tell you more. What am I?

"," Book.

"
"The 22nd and 24th presidents of the United States of America had the same parents, but were not brothers. How can this be possible?

"," 
They were the same man. Grover Cleveland served two terms as president of the United States, but the terms were not consecutive.

"
"What disappears the moment you say its name?

"," Silence.

"
"I have a name, but it isn't my name. My face shows signs of age. I always mean the same thing, no matter what I say. I'm born in mourning, and I last 'til the end of days. Men plant me, but I never grow. They run from me, but I never move. They look at me and see their future, rotting in the fields where I bloom. What am I?

"," 
Tombstone /gravestone.

"
"He has married many women, but has never been married. Who am I?

"," 
A preacher / priest

"
"Mr. Smith has 4 daughters. Each of his daughters has a brother. How many children does Mr. Smith have?

"," 
He has 5 children, all of the daughters have the same 1 brother.

"
"There are two planes. One is going from New York to London at a speed of 600 MPH. The other is travelling from London to New York at a speed of 500 MPH. When the planes meet which one will be closer to London?

"," 
They will be the same distance away when they meet.

"
"Take away my first letter and I remain the same. Take away my last letter and I remain unchanged. Remove all my letters and I’m still me. What am I?

"," A mailman. Letters in this sense are envelopes rather than the letters of the alphabet.

"
"Three or four, I can stab through or rule the seas. You know my cousins. What am I?

"," 
Fork (Poseidon rules the seas with his fork/trident in hand)

"
"I love to dance and twist and prance, I shake my tail, as away I sail, wingless I fly into the sky. What am I?

"," 
A kite

"
"Bob has two sons. John and Jay. Jay has one brother and father. Father has two sons. Jay's brother has a brother and a father. Who is Jay's brother Who is Jay's father

"," brother: John, father:Bob. 

"
"A house has four windows facing south, and a bear walks past the windows. What color is the bear?

"," Undetermined.

"
"If we walk one mile north, then one mile west, then one mile south, and end up at the place we started, where are we?

"," North Pole.

"
"Mike's mother has four children. Can you name any of them?

"," Mike.

"
"Sam, Rhea, Peter, Abby, Bob, and Carla were at a party. Each child had a balloon. Sam had a red balloon. Rhea had a blue balloon. Peter and Abby both had red balloons, Bob and Carla both had green balloons. How many children had red balloons?

"," 3.

"
"John has a ball. He gives it to Mary who gives it to Jane who gives it to John who gives it to Sally who gives it back. Who has the ball?

"," John.

"
"John has a ball. He passes it to Mary. She passes it back. After a total of $3^{100}$ passes back and forth who would have the ball?

"," John. John has the ball after an even number of passes, and after an odd number of passes Mary has the ball.

"
"Two children were born on the same day but are not twins, how can that be?

"," To different mothers or different years.

"
"A doctor and a bus driver are both in love with the same woman, an attractive girl named Sarah. The bus driver had to go on a long bus trip that would last a week. Before he left, he gave Sarah seven apples. Why?

"," An apple a day keeps the doctor away.

"
"I left my campsite and hiked south for 3 miles. Then I turned east and hiked for 3 miles. I then turned north and hiked for 3 miles, at which time I came upon a bear inside my tent eating my food! What color was the bear?

"," White, since the only place you can do that is the North Pole and polar bears are the only kind of bears that live there.

"
"A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 5 minutes later they both go out together and enjoy a wonderful dinner together. How can this be?

"," 
The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.

"
"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?

"," Pencil lead.

"
"A man stands on one side of a river, his dog on the other. The man calls his dog, who immediately crosses the river without getting wet and without using a bridge or a boat. How did the dog do it?

"," The river was frozen.

"
"I can't be bought, but I can be stolen with a glance. I'm worthless to one, but priceless to two. What am I?

"," Love.

"
"Turn me on my side and I am everything. Cut me in half and I am nothing. What am I? 

","
The number 8.

"
"answer the below riddle:
No matter how little or how much you use me, you change me every month. What am I?

"," A calendar.

"
"How can 8 + 8 = 4?

"," When you think in terms of time. 8 AM + 8 hours= 4 o’clock.

"
"What has cities, but no houses; forests, but no trees; and water, but no fish?

"," A map.

"
"A red house is made from red bricks. A blue house is made from blue bricks. A yellow house is made from yellow bricks. What is a greenhouse made from? 

"," Glass.

"
"There is a word in the English language in which the first two letters signify a male, the first three letters signify a female, the first four signify a great man, and the whole word, a great woman. What is the word?

"," Heroine.

"
"In my hand I have two coins that are newly minted. Together, they total 30 cents. One isn’t a nickel. What are the coins? 

"," A quarter and a nickel.

"
"What is harder to catch the faster you run?

"," Your breath.

"
"You’re escaping a labyrinth and there are three exits. Exit A leads to an inferno. Exit B leads to an assassin. Exit C leads to a lion that hasn’t eaten in 3 years. Which exit do you pick? 

"," 
Exit C. If a lion hasn’t eaten in 3 years, it has definitely starved to death.

"
"What fastens two people yet touches only one?

"," A wedding ring.

"
"What kind of running means walking?

"," 
Running out of gas.

"
"What can be swallowed, but can also swallow you?

"," 
Pride.

"
"They fill me up and you empty me, almost every day; if you raise my arm, I work the opposite way. What am I?

"," A mailbox.

"
"Which three letters can frighten a thief away?

"," 
ICU.

"
"First I am dried, then I am wet. The longer I swim, the more taste you get. What am I? 

"," 
Tea.

"
"Lovely and round, I shine with pale light, grown in the darkness, A lady's delight. What am I?

"," 
A pearl.

"
"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go I must take my bow or else I have nothing to say. What am I?

"," 
A violin.

"
"I am a box that holds keys without locks, yet they can unlock your soul. What am I?

"," 
A piano.

"
"I have a big mouth and I am also quite loud! I am NOT a gossip but I do get involved with everyone's dirty business. What am I?

"," 
A vacuum cleaner

"
"I have four wings, but cannot fly, I never laugh and never cry; On the same spot I'm always found, toiling away with little sound. What am I?

"," 
A windmill.

"
"What can be stolen, mistaken, or altered, yet never leave you your entire life?

"," 
Your identity.

"
"Until I am measured, I am not known. Yet you miss me, when I have flown. What am I?

"," 
Time.

"
"Four cars come to a four-way stop, all coming from a different direction. They can't decide who got there first, so they all go forward at the same time. They do not crash into each other, but all four cars go. How is this possible?

"," 
They all made right-hand turns.

"
"Take one out and scratch my head, I am now black but once was red. What am I?

"," 
A match/matchstick.

"
"Some try to hide, and some try to cheat, but time will show, we always will meet. Try as you might, to guess my name, I promise you'll know when you do claim. Who am I?

"," 
Death.

"
"I weaken all men for hours each day. I show you strange visions while you are away. I take you by night, by day take you back. None suffer to have me, but do from my lack. What am I?

"," 
Sleep.

"
"What has no hands but might knock on your door, and if it does you better open up.

"," 
Opportunity.

"
"What do you throw out when you want to use it but take in when you don't want to use it?

"," 
An anchor.

"
"I can be short and sometimes hot. When displayed, I rarely impress. What am I?

"," 
Temper.

"
"What can be driven although it doesn't have wheels, sliced but stays whole?

"," 
A golf ball.

"
"Shoot at me a thousand times and I may still survive. But, one scratch from me and you will find your prospects take a dive. What am I?

"," 
An eight-ball.

"
"Why is the letter F like death?

"," 
Because without it life is a lie, or it makes life a lie.

"
"You do not want to have it, But when you do have it, You do not want to lose it. What is it?

"," 
A lawsuit.

"
"An elevator is on the ground floor. There are four people in the elevator including me. When the lift reaches the first floor, one person gets out and three people get in. The lift goes up to the second floor, 2 people get out, 6 people get in. It then goes up to the next floor up, no one gets out but 12 people get in. Halfway up to the next floor up the elevator cable snaps, it crashes to the floor. Everyone else dies in the elevator except me. How did I survive?

"," I got off on the first floor.

"
"Guess the next three letters in the series GTNTL.

"," I, T, S. The complete sequence is the first letter of every word in the sentence.

"
"Arnold Schwarzenegger has a long one. Michael J. Fox has a short one. Madonna does not use hers. Bill Clinton always uses his. The Pope never uses his. What is it?

"," 
Last name.

"
"The number 8,549,176,320 is a unique number. What is so special about it?

"," 
This is the only number that includes all the digits arranged in alphabetical order.

"
"I have no eyes, no legs, or ears, and I help move the earth. What am I?

"," 
An earthworm.

"
"A sundial has the fewest moving parts of any timepiece. Which has the most?

"," 
An hourglass, with thousands of grains of sand

"
"What is unusual about the following words: revive, banana, grammar, voodoo, assess, potato, dresser, uneven?

"," 
Take the first letter of each word and place it at the end. It will spell the same word backward.

"
"Put a coin into an empty bottle and insert a cork into the neck. How can you remove the coin without removing the cork or breaking the bottle?

"," 
Push the cork down into the bottle. Then shake the coin out.

"
"In 1990, a person was 15 years old. In 1995, that same person was 10 years old. How can this be?

"," 
The person was born in 2005 B.C.

"
"Two boxers are in a match scheduled for 12 rounds. (Pure boxing only. There are no kicking or takedowns). One of the boxers gets knocked out after only six rounds, yet no man throws a punch. How is this possible?

"," 
Both the boxers were female.

"
"What does this mean? I RIGHT I

"," Right between the eyes.

"
"Brothers and sisters I have none but this man's father is my father's son. Who is the man?

"," 
The man is my son.

"
"What runs all around a backyard, yet never moves?

"," 
A fence.

"
"What tastes better than it smells?

"," 
A tongue.

"
"What has a bottom at the top?

"," 
Legs.

"
"What goes through cities and fields, but never moves?

"," 
A road.

"
"What is made of water but if you put it into water it will die?

"," 
An ice cube.

"
"Which creature walks on four legs in the morning, two legs in the afternoon, and three legs in the evening?

"," 
Human. crawls on all fours as a baby, then walks on two feet as an adult, and then walks with a cane as an old man.

"
"What 4-letter word can be written forward, backward or upside down, and can still be read from left to right?

"," 
Noon.

"
"Take off my skin - I won't cry, but you will! What am I?

"," 
An onion.

"
"A family has two parents and six sons. Each of the sons has one sister. How many people are in the family? 

"," 
Nine. Two parents, six sons, and one daughter.

"
"How far can a squirrel run into the woods?

"," 
Halfway. After that, he's running back out of the woods.

"
"Which word logically comes next in this sequence? Spots, tops, pots, opts ...

"," 
Stop. All the words are anagrams of each other.

"
"Which tire doesn’t move when a car turns right?

"," 
A spare tire.

"
"What do an island and the letter “t” have in common?

"," 
They are both in the middle of water.

"
"How can a man who shaves several times a day still sport a long beard?

"," 
He’s a barber.

"
"What coat goes on wet? 

"," 
A coat of paint.

"
"A rancher had 500 cows and took one shot that got them all. How did he do it?

"," 
A panoramic photo.

"
"What can’t talk but will reply when spoken to?

"," 
An echo

"
"What can you keep after giving to someone?

"," 
Your word.

"
"A man dies of old age on his 25 birthday. How is this possible?

"," 
He was born on February 29th.

"
"I have branches, but no fruit, trunk, or leaves. What am I?

"," 
A bank

"
"The more of this there is, the less you see. What is it?

"," 
Darkness.

"
"Where does today come before yesterday?

"," 
The dictionary.

% Related: Trivia Questions for Kids
"
"What can’t be put in a saucepan?

"," 
Its lid.

"
"What is black when it’s clean and white when it’s dirty?

"," 
A blackboard (chalkboard).

"
"What has many keys but can’t open a single lock?

"," 
A piano.

"
"What is cut on a table, but is never eaten?

"," 
A deck of cards.

"
"What kind of band doesn’t play music?

"," 
A rubber band.

"
"What building has the most stories?

"," 
The library.

"
"It stalks the countryside with ears that can’t hear. What is it?

"," 
Corn.

"
"A man describes his daughters, saying, “They are all blonde, but two; all brunette but two; and all redheaded but two.” How many daughters does he have?

"," 
Three. A blonde, a brunette, and a redhead.

"
"If you drop me I’m sure to crack, but give me a smile and I’ll always smile back. What am I?

"," 
A mirror.

"
"I married my mother’s daughter-in-law. How is that possible?

",NONE
"How many holes are there in a new t-shirt?

"," 4 holes.

"
"There are five birds on a branch. If you shoot one of them off the branch, how many are left on the branch?

"," 0 birds.

"
"There is a place where all directions are north. Where is it?

",NONE
"Can my widow wife remarry with someone else?

",NONE
"The following list of words is from the Agta language of the Central Cagayan Valley in the Northern island of Luzon, in the Philippines. There are now only about 600 speakers of this variety of Agta, although there are perhaps 10,000 people in the Philippines who speak other varieties also known as Agta. The Agta people now speak an Austronesian language similar to other languages spoken in the Philippines. However, they are descended from the Melanesian people who were present in the Philippines before the Austronesian peoples arrived. The Agta language is now seriously endangered.

wer: creek 
balabahuy: little pig
talobag: beetle
bakbakat: granny
palapirak: little money
bahuy: pig
bag: loincloth
walawer: little creek
balabag: little loincloth
takki: leg
labang: patch

Now you have enough information to translate the following words into Central Cagayan Agta:

little leg
money
little beetle
little patch
little granny



"," 
'little leg' talatakki 
'money' pirak 
'little beetle' talatalobag 
'little patch' lalalabang 
'little granny' balabakbakat 


"
"The sound of Brian’s snoring is usually just annoying, but today it causes terror and panic. Why?

"," 
Brian is a bus driver.

 "
"Let’s say Bob has three items: a fox, a chicken, and some corns. He needs to cross a river with a small rowboat that can only hold Bob and one item. How does Bob cross the river and keep his items intact?

","
1. The man and the chicken cross the river, (the fox and corn are safe together), he leaves the chicken on the other side and goes back across.

2. The man then takes the fox across the river, and since he can't leave the fox and chicken together, he brings the chicken back.

3. Again, since the chicken and corn can't be left together, he leaves the chicken and he takes the corn across and leaves it with the fox.

4. He then returns to pick up the chicken and heads across the river one last time.

"
"Puzzle: a hunter walks one mile south, one mile east, and one mile north and ends up right back where he started. He sees a bear and shoots it. What color is the bear?

"," White.

"
"Why are there things called unsolved mysteries? Shouldn’t they be unsolved in the first place to be called a mystery?

",NONE
"I left 5 clothes to dry out in the sun. It took
them 5 hours to dry completely. How long
would it take to dry 30 clothes?


"," 
5 hours

"
"3 chicken gave 3 eggs in 3 minutes. Then 1 chicken gave 1 egg in how many minutes?


"," 3 minutes

"
"If 1=3, 2=3, 3=5, 4=4, 5=4,Then, 6=?

"," 
3, because ‘six’ has three letters

"
"A man is climbing up a mountain which is inclined. He has to travel 100 km to reach the top of the mountain. Every day he climbs up 2 km forward in the daytime. Exhausted, he then takes a rest there at night time. At night, while he is asleep, he slips down 1 km backward because the mountain is inclined. Then how many days does it take him to reach the mountain top?

"," 99 days. 
1st day height achieved 2km 
1st night -1km 
effective climb at beginning of day 2 is 1km 
2nd-day height achieved 3km 
2nd night -1km 
effective climb at the beginning of day 3 is 2km 
so on… 
effective climb at the beginning of day 98 is 97km 
98th-day height achieved 99km 
98th night -1km 
effective climb at beginning of day 99 is 98km 
99th-day height achieved is 100km

"
"There are 100 killers in a room. I enter and kill 10 of them. How many killers are left in the room?

"," 
91

"
