Question,Answer
"answer the below question:
The cathode of a battery was removed. Cathode means… 
1- Positive pole. 
2- Negative pole.  
3- Neutral pole. 
4- Opposite pole.

"," Option 2. 
In electrolysis and electrophoresis, for example, electrons (negatively charged particles) come from a power supply along a negatively charged electrode, the cathode. Electrons return to the power supply via a positively charged electrode, the anode. Therefore, the cathode is not the positive (A), neutral (C), or opposite (D) electrode, or pole.

"
"answer the below question:
The doctor was known as a charlatan over the years of his practice. Charlatan means… 
1- Quack. 
2- Knowledgeable physician. 
3- Procedural physician. 
4- Medical examiner.

"," Option 1.  
Quack and charlatan are synonyms meaning phony, fraud, or faker. A doctor known as a charlatan or quack is not a knowledgeable physician (B) or a procedural physician (C). A medical examiner (D) is a specific job title for a licensed physician who is also a government-appointed officer conducting autopsies to investigate and determine cause of death, not a synonym for a fake.

"
"answer the below question:
The wound exhibited signs of copious drainage requiring medical intervention. Copious means… 
1- Minimal. 
2- Clear. 
3- Maximal. 
4- Foul.

"," Option 3. 
Copious means profuse or abundant, i.e. maximal, not minimal (A), an antonym. This meaning is not related to, and does not mean, clear (B) or foul (D).

"
"answer the below question:
The attorney accused the witness of defaming the defendant. Defaming means… 
1- Killing. 
2- Badgering. 
3- Suffocating. 
4- Slandering.

"," Option 4.
To defame means to slander, libel, or otherwise disparage the reputation or actions of another. It does not mean to kill (A), badger (B) or harass; or to suffocate (C) or smother.

"
"answer the below question:
The detective was able to derive the facts of the case. Derive means… 
1- Desist. 
2- Deter. 
3- Devise. 
4- Deduce.

"," Option 4. 
To derive means to deduce; i.e. to draw from or arrive at through deduction, or to determine via reasoning. It does not mean to desist (A), i.e. cease; to deter (B), i.e. prevent or discourage; or to devise (C), i.e. design or invent.

"
"answer the below question:
The scientist was able to evoke powerful emotions from her audience. Evoke means… 
1- Sell.  
2- Calm. 
3- Call forth. 
4- Exaggerate.

"," Option 3. 
To evoke means to call forth, elicit, or draw out, as emotions. It does not mean to sell (A), calm (B), or exaggerate (D).

"
"answer the below question:
The judge was fallible during deliberation. Fallible means… 
1- Careful not to err.  
2- Falsely accused. 
3- Loyal to his supporters. 
4- Capable of mistakes.

"," Option 4. 
Fallible means able to err. It does not mean careful not to do so (A), falsely accused (B), or loyal to one’s supporters (C).

"
"answer the below question:
 The chemist collected the germane data during the experiment. Germane means… 
1- Relevant. 
2- Obscure.  
3- Limited. 
4- Usual.

"," Option 1. 
Germane means relevant, pertinent, or applicable. It does not mean obscure (B), i.e. unclear or hidden; limited (C), or usual (D).

"
"answer the below question:
The desperados held up in a grotto in New Mexico during the escape. Grotto means… 
1- Large cave. 
2- Small cavern. 
3- Hotel. 
4- Motel.

"," Option 2. 
A grotto is a small cave, cavern, or hollow. It is not a larger cave (A), or a hotel (C) or motel (D).

"
"answer the below question:
The official exhibited a heedless attitude when dealing with the dignitaries. Heedless means… 
1- Thoughtless. 
2- Pleasant. 
3- Friendly. 
4- Bitter.

"," Option 1.
Heedless means thoughtless: to heed is to pay attention to, mind, or observe something, and heedless is not paying attention/ignoring. It does not mean pleasant (B), friendly (C), or bitter (D).

"
"answer the below question:
The Sherman tank commander noted innumerable troops moving forward against his position. Innumerable means… 
1- Limited. 
2- Weary. 
3- Countless.  
4- Harmless.

"," Option 3.
Innumerable means countless, or impossible to number or count. It is an opposite of limited (A). It does not mean weary (B) or tired, or harmless (D).

"
"answer the below question:
The general tried to instill in his troops the hope of victory. Instill means… 
1- Infuse. 
2- Delay. 
3- Inscribe. 
4- Indict.

"," Option 1. 
Infuse is the best synonym here for instill, meaning to impart, inject, introduce or put something into someone or something. These two words do not mean to delay (B), i.e. put off or slow down; to inscribe (C), i.e. write, etch, or imprint; or to indict (D), i.e. accuse.

"
"answer the below question:
The winning team of the World Series often has a jovial attitude. Jovial means… 
1- Merry. 
2- Sad. 
3- Somber. 
4- Laborious.

"," Option 1. 
Jovial means happy or merry, the opposite of sad (B) and somber (C). It does not mean laborious (D), i.e. effortful, difficult, or painstaking.

"
"answer the below question:
The plant entered the latent phase of development in the fall. Latent means…  
1- First. 
2- Growth. 
3- Last. 
4- Dormant. 

"," Option 4. 
Latent means dormant, sleeping, or inactive; unrealized, or covert or hidden. It does not mean first (A), growth (B), or last (C).

"
"answer the below question:
The yacht club members were excited about conditions on the loch. Loch means… 
1- Water. 
2- Lake. 
3- Gulf. 
4- Ocean. 

"," Option 2. 
Loch is the Scottish word equivalent to the English word lake. Hence lake is a closer synonym than water (A), which has many forms; or gulf (C) or ocean (D), both bodies of water different from a lake.

"
"Which word doesn't belong with the others? Inch, Kilogram, Centimeter, Yard 

"," Kilogram

"
"Is ``molilom"" a palindrome?

"," Yes.

"
"Discarding the commas and case, is ``A Man, a Plan, a Canal, Panama"" a palindrome?

"," Yes.

"
"What do you call a male ladybug?

"," Both gender are called ladybug.

"
"If people from Poland are called Poles, do you call people from Holand ‘Holes’?

"," No. Dutch is the correct answer.

"
"First, consider the five words below: 
1. Cruise ship 
2. Bicycle 
3. Airplane 
4. Walking on foot 
5. Automobile (not a race car) 
Now, put them in order from the fastest to the slowest, when they are going at maximum speed.

"," Airplane, Cruise ship, Automobile, Bicycle, Walking on foot

"
"Why is it called ‘shipping’ if it goes by truck? Why is it called ‘cargo’ when it goes by ship?

",NONE
"Why do we say ‘after dark’ when it’s actually really after light?

",NONE
"Can you find 12 Halloween-related words in this wordsearch? Look at the grid and see how many Halloween-related words you can find. Words may go across or back, up or down, and diagonally up or down in the grid.

T Z P F T F K P W M P
F E H L J A L L U K S
A Y L O O N B M A R E
R F P W Q C M S X C M
C J U E I Y K C O F O
H N M R E D T B I Q S
C S P E U R W S V A E
T R K W D E C Y O E U
I X I B B S G R H H R
W E N O T S E V A R G


"," 
- Witchcraft 
- Pumpkin
- Ghost
- Skull 
- Mummy
- Cobweb 
- Fancy-dress
- Creepy 
- Werewolf 
- Gravestone 
- Bat
- Gruesome

"
"Can you find 12 colours in this wordsearch? Look at the grid and see how many colour words you can find. Words may go across or back, up or down, and diagonally up or down in the grid.

P S A F F R O N U T V
U I E L P R U P B E G
R N A U H A Z U R E Y
O D D L A R E M E A E
R I V I P X I E J T R
A G R U D L N G S N H
N O S M I R C I C E M
G N M O W U F E R G U
E R N J F T Y B E A Q
T A U P E E V U A M S

"," 
- azure 
- beige
- crimson
- emerald
- indigo
- magenta
- mauve
- orange
- purple
- saffron
- taupe
- vermilion

"
